order_id,order_date,region,customer_segment,product_category,product_name,quantity,unit_price,discount,revenue
ORD-00559,2024-03-02,North,Consumer,Apparel,Hoodie,4,35.0,0.15,119.0
ORD-00180,2024-03-02,South,Corporate,Furniture,Desk Lamp,4,22.0,0.0,88.0
ORD-00517,2024-03-02,North,Consumer,Apparel,Jacket,5,60.0,0.05,285.0
ORD-00524,2024-03-02,South,Small Business,Apparel,Hoodie,6,35.0,0.0,210.0
ORD-00049,2024-03-02,West,Corporate,Furniture,Desk Lamp,3,22.0,0.15,56.1
ORD-00097,2024-03-04,South,Consumer,Electronics,Webcam,2,55.0,0.05,104.5
ORD-00289,2024-03-04,North,Corporate,Furniture,Office Chair,1,120.0,0.0,120.0
ORD-00052,2024-03-04,North,Consumer,Electronics,Webcam,3,55.0,0.0,165.0
ORD-00257,2024-03-04,South,Consumer,Furniture,Standing Desk,7,260.0,0.0,1820.0
ORD-00088,2024-03-05,West,Corporate,Office Supplies,Stapler,2,5.0,0.0,10.0
ORD-00196,2024-03-05,South,Consumer,Electronics,Bluetooth Speaker,5,45.0,0.0,225.0
ORD-00099,2024-03-07,South,Consumer,Furniture,Office Chair,4,120.0,0.2,384.0
ORD-00087,2024-03-07,North,Corporate,Electronics,USB-C Hub,7,32.0,0.0,224.0
ORD-00290,2024-03-08,West,Consumer,Office Supplies,Printer Paper,4,8.0,0.05,30.4
ORD-00256,2024-03-09,East,Corporate,Electronics,Keyboard,1,40.0,0.0,40.0
ORD-00394,2024-03-09,South,Small Business,Furniture,Bookshelf,1,95.0,0.0,95.0
ORD-00529,2024-03-09,East,Consumer,Apparel,Cap,4,10.0,0.1,36.0
ORD-00359,2024-03-09,North,Consumer,Electronics,Keyboard,7,40.0,0.05,266.0
ORD-00045,2024-03-10,West,Consumer,Electronics,Webcam,7,55.0,0.0,385.0
ORD-00194,2024-03-11,East,Consumer,Office Supplies,Sticky Notes,6,3.5,0.0,21.0
ORD-00295,2024-03-11,East,Corporate,Furniture,Filing Cabinet,3,140.0,0.15,357.0
ORD-00153,2024-03-12,West,Consumer,Apparel,T-Shirt,4,15.0,0.0,60.0
ORD-00258,2024-03-12,North,Consumer,Electronics,Wireless Mouse,4,18.0,0.0,72.0
ORD-00182,2024-03-12,North,Consumer,Electronics,Webcam,2,55.0,0.15,93.5
ORD-00024,2024-03-13,South,Consumer,Apparel,Cap,5,10.0,0.05,47.5
ORD-00040,2024-03-13,East,Corporate,Furniture,Desk Lamp,1,22.0,0.0,22.0
ORD-00288,2024-03-14,North,Consumer,Furniture,Office Chair,1,120.0,0.2,96.0
ORD-00504,2024-03-14,North,Corporate,Apparel,T-Shirt,2,15.0,0.0,30.0
ORD-00242,2024-03-16,South,Consumer,Furniture,Filing Cabinet,4,140.0,0.1,504.0
ORD-00079,2024-03-16,East,Consumer,Furniture,Bookshelf,1,95.0,0.05,90.25
ORD-00433,2024-03-16,South,Corporate,Apparel,Socks Pack,1,8.0,0.05,7.6
ORD-00583,2024-03-16,North,Consumer,Electronics,Webcam,1,55.0,0.05,52.25
ORD-00241,2024-03-17,West,Consumer,Electronics,Bluetooth Speaker,6,45.0,0.0,270.0
ORD-00328,2024-03-17,North,Corporate,Electronics,Bluetooth Speaker,1,45.0,0.0,45.0
ORD-00526,2024-03-18,East,Consumer,Office Supplies,Sticky Notes,6,3.5,0.0,21.0
ORD-00297,2024-03-18,East,Consumer,Apparel,Cap,4,10.0,0.0,40.0
ORD-00232,2024-03-18,North,Consumer,Apparel,Hoodie,2,35.0,0.05,66.5
ORD-00179,2024-03-19,West,Small Business,Apparel,Hoodie,4,35.0,0.05,133.0
ORD-00476,2024-03-19,North,Corporate,Apparel,T-Shirt,7,15.0,0.0,105.0
ORD-00018,2024-03-19,South,Consumer,Electronics,Bluetooth Speaker,6,45.0,0.0,270.0
ORD-00586,2024-03-20,East,Corporate,Apparel,Hoodie,2,35.0,0.0,70.0
ORD-00444,2024-03-21,North,Consumer,Office Supplies,Printer Paper,5,8.0,0.05,38.0
ORD-00413,2024-03-22,East,Consumer,Office Supplies,Printer Paper,5,8.0,0.05,38.0
ORD-00029,2024-03-22,West,Consumer,Furniture,Bookshelf,2,95.0,0.05,180.5
ORD-00181,2024-03-22,North,Consumer,Apparel,Jacket,7,60.0,0.0,420.0
ORD-00471,2024-03-22,North,Consumer,Furniture,Filing Cabinet,6,140.0,0.0,840.0
ORD-00314,2024-03-23,East,Consumer,Office Supplies,Sticky Notes,3,3.5,0.0,10.5
ORD-00152,2024-03-23,West,Corporate,Office Supplies,Notebook Pack,3,6.5,0.0,19.5
ORD-00197,2024-03-23,East,Corporate,Office Supplies,Sticky Notes,5,3.5,0.0,17.5
ORD-00336,2024-03-24,West,Small Business,Apparel,Jacket,1,60.0,0.0,60.0
ORD-00484,2024-03-25,West,Consumer,Apparel,Cap,6,10.0,0.2,48.0
ORD-00089,2024-03-25,West,Consumer,Apparel,Cap,1,10.0,0.0,10.0
ORD-00435,2024-03-26,South,Small Business,Office Supplies,Notebook Pack,3,6.5,0.2,15.6
ORD-00210,2024-03-26,East,Small Business,Apparel,Jacket,2,60.0,0.0,120.0
ORD-00372,2024-03-27,West,Small Business,Furniture,Bookshelf,3,95.0,0.0,285.0
ORD-00293,2024-03-27,South,Consumer,Apparel,Cap,1,10.0,0.15,8.5
ORD-00110,2024-03-27,West,Consumer,Furniture,Bookshelf,6,95.0,0.0,570.0
ORD-00255,2024-03-27,South,Consumer,Furniture,Standing Desk,5,260.0,0.05,1235.0
ORD-00094,2024-03-28,South,Consumer,Office Supplies,Sticky Notes,1,3.5,0.0,3.5
ORD-00073,2024-03-28,East,Consumer,Office Supplies,Desk Organizer,7,12.0,0.0,84.0
ORD-00084,2024-03-28,East,Consumer,Apparel,Jacket,6,60.0,0.0,360.0
ORD-00275,2024-03-29,East,Consumer,Office Supplies,Desk Organizer,7,12.0,0.05,79.8
ORD-00278,2024-03-30,North,Corporate,Apparel,Socks Pack,3,8.0,0.0,24.0
ORD-00482,2024-03-30,South,Corporate,Apparel,Jacket,1,60.0,0.0,60.0
ORD-00570,2024-03-30,East,Consumer,Furniture,Desk Lamp,2,22.0,0.0,44.0
ORD-00386,2024-03-31,South,Consumer,Electronics,Webcam,3,55.0,0.15,140.25
ORD-00595,2024-03-31,East,Small Business,Office Supplies,Stapler,4,5.0,0.0,20.0
ORD-00333,2024-03-31,East,Corporate,Office Supplies,Printer Paper,7,8.0,0.0,56.0
ORD-00061,2024-03-31,East,Consumer,Apparel,T-Shirt,2,15.0,0.05,28.5
ORD-00431,2024-04-01,East,Corporate,Electronics,USB-C Hub,5,32.0,0.1,144.0
ORD-00391,2024-04-02,West,Small Business,Furniture,Standing Desk,6,260.0,0.0,1560.0
ORD-00306,2024-04-02,West,Consumer,Electronics,Webcam,2,55.0,0.0,110.0
ORD-00222,2024-04-02,North,Consumer,Office Supplies,Desk Organizer,7,12.0,0.0,84.0
ORD-00319,2024-04-03,North,Consumer,Apparel,Hoodie,4,35.0,0.05,133.0
ORD-00468,2024-04-04,South,Consumer,Furniture,Filing Cabinet,5,140.0,0.0,700.0
ORD-00566,2024-04-05,East,Corporate,Electronics,Wireless Mouse,7,18.0,0.05,119.7
ORD-00200,2024-04-06,North,Corporate,Apparel,Cap,3,10.0,0.0,30.0
ORD-00216,2024-04-06,North,Consumer,Office Supplies,Sticky Notes,6,3.5,0.0,21.0
ORD-00515,2024-04-06,South,Consumer,Apparel,T-Shirt,5,15.0,0.0,75.0
ORD-00168,2024-04-07,East,Consumer,Electronics,USB-C Hub,4,32.0,0.05,121.6
ORD-00302,2024-04-07,West,Corporate,Apparel,T-Shirt,2,15.0,0.05,28.5
ORD-00100,2024-04-09,West,Corporate,Electronics,Wireless Mouse,1,18.0,0.0,18.0
ORD-00060,2024-04-09,South,Consumer,Furniture,Standing Desk,6,260.0,0.05,1482.0
ORD-00032,2024-04-09,East,Corporate,Electronics,Bluetooth Speaker,6,45.0,0.0,270.0
ORD-00307,2024-04-10,East,Corporate,Office Supplies,Stapler,7,5.0,0.05,33.25
ORD-00212,2024-04-10,South,Consumer,Furniture,Desk Lamp,4,22.0,0.0,88.0
ORD-00304,2024-04-10,North,Small Business,Apparel,Jacket,3,60.0,0.1,162.0
ORD-00083,2024-04-11,North,Corporate,Electronics,Keyboard,3,40.0,0.1,108.0
ORD-00599,2024-04-13,West,Consumer,Furniture,Desk Lamp,4,22.0,0.0,88.0
ORD-00039,2024-04-13,North,Corporate,Office Supplies,Desk Organizer,3,12.0,0.15,30.6
ORD-00420,2024-04-13,East,Consumer,Furniture,Office Chair,7,120.0,0.15,714.0
ORD-00368,2024-04-15,North,Corporate,Office Supplies,Printer Paper,5,8.0,0.2,32.0
ORD-00596,2024-04-15,South,Consumer,Apparel,Socks Pack,2,8.0,0.05,15.2
ORD-00389,2024-04-15,South,Consumer,Apparel,Hoodie,7,35.0,0.0,245.0
ORD-00294,2024-04-15,North,Consumer,Office Supplies,Sticky Notes,3,3.5,0.2,8.4
ORD-00042,2024-04-16,West,Consumer,Apparel,Jacket,6,60.0,0.1,324.0
ORD-00525,2024-04-16,West,Corporate,Office Supplies,Sticky Notes,4,3.5,0.0,14.0
ORD-00592,2024-04-17,South,Consumer,Apparel,Hoodie,7,35.0,0.1,220.5
ORD-00437,2024-04-17,East,Corporate,Furniture,Desk Lamp,2,22.0,0.0,44.0
ORD-00178,2024-04-18,West,Consumer,Electronics,Wireless Mouse,6,18.0,0.0,108.0
ORD-00475,2024-04-18,South,Consumer,Furniture,Bookshelf,6,95.0,0.2,456.0
ORD-00205,2024-04-19,North,Consumer,Office Supplies,Desk Organizer,2,12.0,0.0,24.0
ORD-00430,2024-04-19,South,Corporate,Furniture,Standing Desk,1,260.0,0.0,260.0
ORD-00106,2024-04-20,East,Corporate,Apparel,Cap,5,10.0,0.0,50.0
ORD-00342,2024-04-21,South,Consumer,Office Supplies,Stapler,2,5.0,0.0,10.0
ORD-00584,2024-04-22,West,Corporate,Electronics,USB-C Hub,7,32.0,0.0,224.0
ORD-00549,2024-04-22,West,Corporate,Furniture,Filing Cabinet,6,140.0,0.05,798.0
ORD-00373,2024-04-22,North,Corporate,Office Supplies,Stapler,6,5.0,0.0,30.0
ORD-00062,2024-04-22,South,Consumer,Furniture,Filing Cabinet,7,140.0,0.0,980.0
ORD-00503,2024-04-23,North,Consumer,Apparel,Jacket,5,60.0,0.2,240.0
ORD-00098,2024-04-24,South,Consumer,Furniture,Bookshelf,5,95.0,0.0,475.0
ORD-00164,2024-04-24,East,Consumer,Office Supplies,Sticky Notes,2,3.5,0.05,6.65
ORD-00447,2024-04-26,South,Small Business,Office Supplies,Printer Paper,3,8.0,0.0,24.0
ORD-00043,2024-04-29,West,Corporate,Furniture,Desk Lamp,7,22.0,0.0,154.0
ORD-00574,2024-04-30,South,Consumer,Electronics,Wireless Mouse,3,18.0,0.0,54.0
ORD-00522,2024-05-01,West,Small Business,Electronics,Wireless Mouse,6,18.0,0.0,108.0
ORD-00395,2024-05-02,East,Small Business,Furniture,Bookshelf,5,95.0,0.0,475.0
ORD-00434,2024-05-02,South,Consumer,Electronics,Bluetooth Speaker,7,45.0,0.2,252.0
ORD-00597,2024-05-03,East,Corporate,Furniture,Filing Cabinet,7,140.0,0.15,833.0
ORD-00085,2024-05-03,West,Consumer,Furniture,Office Chair,3,120.0,0.0,360.0
ORD-00251,2024-05-03,East,Consumer,Electronics,Keyboard,3,40.0,0.0,120.0
ORD-00487,2024-05-04,South,Consumer,Office Supplies,Sticky Notes,3,3.5,0.1,9.45
ORD-00213,2024-05-04,East,Consumer,Apparel,Socks Pack,2,8.0,0.05,15.2
ORD-00091,2024-05-05,South,Consumer,Office Supplies,Sticky Notes,2,3.5,0.05,6.65
ORD-00174,2024-05-05,North,Corporate,Furniture,Filing Cabinet,3,140.0,0.15,357.0
ORD-00558,2024-05-06,South,Corporate,Apparel,Jacket,5,60.0,0.0,300.0
ORD-00510,2024-05-07,South,Consumer,Electronics,Wireless Mouse,2,18.0,0.1,32.4
ORD-00021,2024-05-07,West,Consumer,Furniture,Bookshelf,5,95.0,0.0,475.0
ORD-00454,2024-05-07,West,Small Business,Electronics,Keyboard,5,40.0,0.0,200.0
ORD-00406,2024-05-08,West,Consumer,Furniture,Desk Lamp,7,22.0,0.15,130.9
ORD-00407,2024-05-09,South,Small Business,Office Supplies,Sticky Notes,2,3.5,0.05,6.65
ORD-00131,2024-05-10,East,Consumer,Furniture,Filing Cabinet,4,140.0,0.05,532.0
ORD-00054,2024-05-10,East,Corporate,Office Supplies,Sticky Notes,6,3.5,0.0,21.0
ORD-00086,2024-05-11,North,Consumer,Furniture,Desk Lamp,1,22.0,0.15,18.7
ORD-00465,2024-05-11,West,Corporate,Electronics,Webcam,4,55.0,0.0,220.0
ORD-00237,2024-05-12,North,Small Business,Furniture,Desk Lamp,3,22.0,0.0,66.0
ORD-00115,2024-05-13,East,Small Business,Furniture,Desk Lamp,7,22.0,0.0,154.0
ORD-00101,2024-05-13,North,Consumer,Apparel,Cap,6,10.0,0.0,60.0
ORD-00011,2024-05-14,East,Consumer,Furniture,Desk Lamp,5,22.0,0.1,99.0
ORD-00108,2024-05-14,West,Consumer,Furniture,Bookshelf,2,95.0,0.0,190.0
ORD-00006,2024-05-15,North,Corporate,Apparel,Cap,7,10.0,0.05,66.5
ORD-00254,2024-05-15,South,Consumer,Office Supplies,Printer Paper,2,8.0,0.0,16.0
ORD-00493,2024-05-15,South,Corporate,Apparel,Jacket,5,60.0,0.0,300.0
ORD-00025,2024-05-16,West,Consumer,Apparel,Socks Pack,3,8.0,0.0,24.0
ORD-00228,2024-05-18,East,Consumer,Furniture,Desk Lamp,7,22.0,0.05,146.3
ORD-00531,2024-05-18,North,Consumer,Furniture,Bookshelf,6,95.0,0.15,484.5
ORD-00424,2024-05-19,South,Corporate,Furniture,Desk Lamp,1,22.0,0.1,19.8
ORD-00063,2024-05-19,West,Consumer,Office Supplies,Notebook Pack,4,6.5,0.0,26.0
ORD-00023,2024-05-21,South,Consumer,Electronics,Wireless Mouse,7,18.0,0.05,119.7
ORD-00059,2024-05-22,South,Consumer,Furniture,Office Chair,4,120.0,0.0,480.0
ORD-00092,2024-05-23,East,Corporate,Apparel,Socks Pack,7,8.0,0.1,50.4
ORD-00329,2024-05-23,East,Corporate,Electronics,USB-C Hub,1,32.0,0.15,27.2
ORD-00405,2024-05-23,West,Consumer,Office Supplies,Notebook Pack,1,6.5,0.1,5.85
ORD-00380,2024-05-24,North,Small Business,Office Supplies,Stapler,5,5.0,0.05,23.75
ORD-00041,2024-05-24,East,Small Business,Electronics,Webcam,4,55.0,0.0,220.0
ORD-00250,2024-05-24,North,Consumer,Electronics,Webcam,1,55.0,0.15,46.75
ORD-00460,2024-05-24,East,Consumer,Electronics,Bluetooth Speaker,2,45.0,0.0,90.0
ORD-00318,2024-05-25,West,Consumer,Furniture,Filing Cabinet,1,140.0,0.05,133.0
ORD-00312,2024-05-26,West,Small Business,Furniture,Office Chair,2,120.0,0.1,216.0
ORD-00166,2024-05-26,South,Consumer,Apparel,Socks Pack,1,8.0,0.2,6.4
ORD-00315,2024-05-27,West,Consumer,Electronics,USB-C Hub,2,32.0,0.0,64.0
ORD-00274,2024-05-27,South,Consumer,Apparel,T-Shirt,2,15.0,0.1,27.0
ORD-00291,2024-05-27,East,Corporate,Apparel,T-Shirt,2,15.0,0.0,30.0
ORD-00188,2024-05-27,North,Corporate,Office Supplies,Desk Organizer,3,12.0,0.1,32.4
ORD-00142,2024-05-28,South,Consumer,Electronics,Webcam,1,55.0,0.05,52.25
ORD-00485,2024-05-28,East,Consumer,Office Supplies,Printer Paper,3,8.0,0.2,19.2
ORD-00260,2024-05-29,South,Consumer,Furniture,Desk Lamp,4,22.0,0.1,79.2
ORD-00479,2024-05-29,North,Consumer,Furniture,Bookshelf,7,95.0,0.05,631.75
ORD-00547,2024-05-29,South,Corporate,Office Supplies,Stapler,7,5.0,0.15,29.75
ORD-00416,2024-05-30,North,Corporate,Furniture,Desk Lamp,2,22.0,0.05,41.8
ORD-00272,2024-05-30,North,Consumer,Electronics,Bluetooth Speaker,5,45.0,0.1,202.5
ORD-00555,2024-05-31,North,Consumer,Apparel,Hoodie,5,35.0,0.0,175.0
ORD-00461,2024-05-31,North,Corporate,Furniture,Filing Cabinet,5,140.0,0.05,665.0
ORD-00285,2024-05-31,North,Consumer,Office Supplies,Sticky Notes,3,3.5,0.0,10.5
ORD-00563,2024-06-02,East,Consumer,Office Supplies,Sticky Notes,1,3.5,0.0,3.5
ORD-00209,2024-06-02,East,Corporate,Office Supplies,Printer Paper,1,8.0,0.2,6.4
ORD-00369,2024-06-03,East,Corporate,Electronics,Keyboard,7,40.0,0.0,280.0
ORD-00071,2024-06-03,North,Consumer,Apparel,Jacket,3,60.0,0.0,180.0
ORD-00567,2024-06-03,South,Small Business,Electronics,Wireless Mouse,4,18.0,0.0,72.0
ORD-00008,2024-06-04,East,Small Business,Furniture,Bookshelf,6,95.0,0.0,570.0
ORD-00218,2024-06-05,West,Corporate,Electronics,Wireless Mouse,4,18.0,0.1,64.8
ORD-00220,2024-06-06,West,Small Business,Apparel,Jacket,4,60.0,0.15,204.0
ORD-00173,2024-06-06,East,Corporate,Apparel,T-Shirt,4,15.0,0.0,60.0
ORD-00261,2024-06-07,East,Corporate,Apparel,Jacket,6,60.0,0.0,360.0
ORD-00325,2024-06-07,East,Small Business,Apparel,Hoodie,5,35.0,0.0,175.0
ORD-00125,2024-06-09,North,Small Business,Apparel,Socks Pack,7,8.0,0.05,53.2
ORD-00081,2024-06-09,East,Corporate,Apparel,Socks Pack,6,8.0,0.2,38.4
ORD-00551,2024-06-09,South,Small Business,Apparel,Hoodie,7,35.0,0.1,220.5
ORD-00104,2024-06-09,West,Consumer,Electronics,Wireless Mouse,7,18.0,0.0,126.0
ORD-00489,2024-06-10,West,Consumer,Apparel,Socks Pack,7,8.0,0.15,47.6
ORD-00356,2024-06-10,West,Consumer,Apparel,Socks Pack,2,8.0,0.15,13.6
ORD-00080,2024-06-12,East,Small Business,Furniture,Desk Lamp,7,22.0,0.0,154.0
ORD-00556,2024-06-12,North,Small Business,Furniture,Bookshelf,3,95.0,0.0,285.0
ORD-00143,2024-06-13,West,Consumer,Office Supplies,Desk Organizer,1,12.0,0.05,11.4
ORD-00500,2024-06-13,South,Small Business,Office Supplies,Stapler,7,5.0,0.0,35.0
ORD-00397,2024-06-14,North,Corporate,Electronics,USB-C Hub,5,32.0,0.0,160.0
ORD-00453,2024-06-14,West,Corporate,Office Supplies,Stapler,1,5.0,0.0,5.0
ORD-00587,2024-06-14,South,Consumer,Furniture,Office Chair,2,120.0,0.2,192.0
ORD-00443,2024-06-15,West,Consumer,Electronics,USB-C Hub,4,32.0,0.0,128.0
ORD-00016,2024-06-16,South,Small Business,Apparel,Socks Pack,1,8.0,0.2,6.4
ORD-00132,2024-06-17,West,Corporate,Furniture,Bookshelf,6,95.0,0.1,513.0
ORD-00292,2024-06-18,West,Corporate,Office Supplies,Desk Organizer,4,12.0,0.0,48.0
